node,variable,lag,distance_to_target
fx_s1_cx1_froth_h,fx_s1_cx1_froth_h,,1
fx_s1_sx3_froth_h,fx_s1_sx3_froth_h,,1
fx_s1_jx_froth_h,fx_s1_jx_froth_h,,1
fx_s1_ph,fx_s1_ph,,2
fx_s1_td_rough_freq,fx_s1_td_rough_freq,,2
fx_s1_sx1_air_flow,fx_s1_sx1_air_flow,,2
fx_s1_sx3_air_flow,fx_s1_sx3_air_flow,,2
fx_blower1_pressure,fx_blower1_pressure,,2
fx_s1_ft1701,fx_s1_ft1701,,3
fx_s1_cx3_froth_h,fx_s1_cx3_froth_h,,3
fx_s1_cx2_level,fx_s1_cx2_level,,3
fx_s1_cx2_froth_h,fx_s1_cx2_froth_h,,4
fx_s1_cx1_level,fx_s1_cx1_level,,4
fx_s1_pool3_level,fx_s1_pool3_level,,5
fx_s1_pool1_level,fx_s1_pool1_level,,5
fx_s1_pool3_pump_freq,fx_s1_pool3_pump_freq,,6
fx_s1_pool1_pump_freq,fx_s1_pool1_pump_freq,,6
fx_s1_pool2_pump_freq,fx_s1_pool2_pump_freq,,6
fx_s1_pool1_pump_curr,fx_s1_pool1_pump_curr,,6
fx_s1_pool3_pump_curr,fx_s1_pool3_pump_curr,,6
fx_ah5_power,fx_ah5_power,,7
